,n_present,n_missing,pct_missing
Color Test,185,483,72.3
Polled Test,185,483,72.3
Current group,280,388,58.1
Genomic Inb. %,489,179,26.8
HO%,489,179,26.8
A2 Test,498,170,25.4
KappaBB,498,170,25.4
Lactoglobulin,498,170,25.4
BetaCasein,498,170,25.4
MGS Name,665,3,0.4
Dam,665,3,0.4
Sire Name,666,2,0.3
Sire Reg Number,666,2,0.3
Type,668,0,0.0
Birth Date,668,0,0.0
Registration Number,668,0,0.0
Pro$,668,0,0.0
LPI,668,0,0.0
Lact. Number,668,0,0.0
Proof Source,668,0,0.0
Genotyped,668,0,0.0
Client Index,668,0,0.0
Fat (kg),668,0,0.0
Milk (kg),668,0,0.0
L-TYPE,668,0,0.0
HEALTH,668,0,0.0
PROD,668,0,0.0
RU,668,0,0.0
DS,668,0,0.0
FL,668,0,0.0
MS,668,0,0.0
Conf,668,0,0.0
HL,668,0,0.0
SCS,668,0,0.0
%Prot,668,0,0.0
Prot (kg),668,0,0.0
%Fat,668,0,0.0
M-ABILITY,668,0,0.0
ENVIRO,668,0,0.0
REPRO,668,0,0.0
